Sistema,Ambiente,Modulo,Pod,Error,Qtd,Hora,Minuto,Hash
spunet,spunet-pro,acervo-backend,acervo-backend-c84f8db5c-6lvqr,OOMKilled,1,12,45,19d9963e0460ed384a60ef724eb79ba0
spunet,spunet-pro,acervo-backend,acervo-backend-c84f8db5c-sjg2h,OOMKilled,1,12,45,1e300feefc2f05d7e69bbae4dd0a7bda
spunet,spunet-desacessos,acessos-core,acessos-core-cdbccd9bf-d8xth,OOMKilled,1,12,45,87bc0b395bac3bc8f3e3ce2f2fcf0539
spunet,spunet-homacessos,acessos-core,acessos-core-6cc78b8d56-v6j2n,OOMKilled,1,12,45,8aaf251a6c3d202fb00b0b8293be925c
spunet,spunet-proacessos,acessos-core,acessos-core-7dc8bc67d9-6hrhn,OOMKilled,1,12,45,2bff9b90e0fec059b42c8eb6aaefeda2
spunet,spunet-proacessos,acessos-core,acessos-core-7dc8bc67d9-jpxrd,OOMKilled,1,12,45,5bce731a5d824a483bc97709e0a42d6b
spunet,spunet-proacessos,acessos-core,acessos-core-7dc8bc67d9-vt6kb,OOMKilled,1,12,45,46d333295c2bf58475051a0be694790a
spunet,spunet-proacessos,acessos-core,acessos-core-7dc8bc67d9-vthmv,OOMKilled,1,12,45,7fcd33485aed4bb4158ec3f034758de3
siapa,siapa-des2,acomp-externo,acomp-externo-7784f5f797-rvvln,OOMKilled,1,12,45,8e2976d92fe136dca71fa23b2a1ecba1
govbrapi,govbrapi-p,acompanhamento,acompanhamento-557b9c57d5-gq4t2,OOMKilled,1,12,45,32d06160290bb67cb6214dd9dd42a961
govbrapi,govbrapi-p,acompanhamento,acompanhamento-557b9c57d5-lhpj6,OOMKilled,1,12,45,2391ff737882defa4563eed17a772494
govbrapi,govbrapi-p,acompanhamento,acompanhamento-557b9c57d5-pc5vq,OOMKilled,1,12,45,9010d7009f436c8ffd7493d6b2144943
govbrapi,govbrapi-p,acompanhamento,acompanhamento-557b9c57d5-rgzh6,OOMKilled,1,12,45,40b7dddd1a174cac504a9420d85ca25c
govbrapi,govbrapi-p,acompanhamento,acompanhamento-557b9c57d5-t5c7h,OOMKilled,1,12,45,c9109681286ac5a5eff92c297337d6dd
govbrapi,govbrapi-p,acompanhamento,acompanhamento-557b9c57d5-vd2sx,OOMKilled,1,12,45,dd66b2c03d5ed9d535d0eb653973720f
sinespcad,sinespcad-pro,agente-campo,agente-campo-6c8bcf7755-8b654,OOMKilled,1,12,45,53cccd0588c2674b637bde6d067add8a
sinespcad,sinespcad-pro,agente-campo,agente-campo-6c8bcf7755-8gtkj,OOMKilled,1,12,45,ade00c02ea18748ba95451d7b25d5fc8
sinespcad,sinespcad-pro,agente-campo,agente-campo-6c8bcf7755-lbhwc,OOMKilled,1,12,45,48120bd18b352f468a37fb5a99f5ffbd
sabia,sabia-p,aie-ws,aie-ws-5d66b9d8df-qmvlt,OOMKilled,1,12,45,c6aafa6fbf1601864788010791f061b7
datavalidp,datavalidp-pbsa,api,api-7cbbd47c97-j4mw9,OOMKilled,1,12,45,127dff8d2cf7bbac485c1403e62d2e7f
wssigecom-estaleiro,wssigecom-estaleiro-prod,api,api-55bd5679dc-z2bqj,OOMKilled,1,12,45,08d78701a80d1092ea67da86bfc11c98
biodata,biodata-d,api,api-549c579c68-9vw45,OOMKilled,1,12,45,91b6b8ee4d51be071d1361437bddf264
biodata,biodata-p,api,api-5754d67965-59xdb,OOMKilled,1,12,45,10469102e7823be3dc103dccc03075e6
biodata,biodata-p,api,api-5754d67965-ndjqw,OOMKilled,1,12,45,1761cfa0332109ad3bff0a8a3a3f4398
datavalidp,datavalidp-p,api,api-fb469c8f6-rd4kf,OOMKilled,1,12,45,82bb45ff076e7507ba483829f2acb386
datavalidp,datavalidp-p,api,api-fb469c8f6-ww8hq,OOMKilled,1,12,45,b7e06edfe7e622a0db01b651c73ab9c4
idpro,idpro-d,api,api-7fb66df696-npll4,OOMKilled,1,12,45,c563e9950efccf2cf4a16a5218f849be
idpro,idpro-h,api,api-55bb57df69-wt6j6,OOMKilled,1,12,45,582cc9b5a4e55d8e440f784d7a69af95
idpro,idpro-p,api,api-7b4c657bf8-bclwn,OOMKilled,1,12,45,86a13104edad21a01e6536fad094fb82
idpro,idpro-p,api,api-7b4c657bf8-gr7g9,OOMKilled,1,12,45,5b2bb4a81fedf850069fba34e41577a3
idpro,idpro-p,api,api-7b4c657bf8-hc6kt,OOMKilled,1,12,45,e8d969781c8c6cc5a45e05b7bc2be7ea
neoid,neoid-h,api,api-5dbf6d69dc-hrsnw,OOMKilled,1,12,45,1eb93ceb8faded11f5390f61b9dd2d7e
neoid,neoid-p,api,api-68bb77874-t6kg7,OOMKilled,1,12,45,b1f8f52fa1452b7e8953360270e86606
neoid,neoid-p,api,api-68bb77874-xh4lv,OOMKilled,1,12,45,6096e3488387e69289a82d654bce732f
gestaocomercial,gestaocomercial-p,api-contrato,api-contrato-5b959f6779-ndtxx,OOMKilled,1,12,45,3e0871d8f1ce700d4c5b82fccbb87e61
sigepe-servidor,sigepe-servidor-mon,api-grafana,api-grafana-f957966bc-l7xl2,OOMKilled,1,12,45,6e566b995a69570c5d7fd6972920b654
sigepe-servidor,sigepe-servidor-mon,api-prometheus,api-prometheus-7c5c76df4c-2rkpq,OOMKilled,1,12,45,dec4883e291046631f4ed7e8182ebd32
api-servicos,api-servicos-h,api-servicos,api-servicos-5dddc99c67-bbm7k,OOMKilled,1,12,45,b322eb4259ddba66613548c25367e421
api-servicos,api-servicos-h,api-servicos,api-servicos-5dddc99c67-fsgmw,OOMKilled,1,12,45,c6fb0e0896fc7b589cef1536a2691572
api-servicos,api-servicos-h,api-servicos,api-servicos-5dddc99c67-pt5nr,OOMKilled,1,12,45,1371c2fea1c59125a590236aa7a3a2ab
api-servicos,api-servicos-h,api-servicos,api-servicos-5dddc99c67-rgss9,OOMKilled,1,12,45,b89d5b17913215027cbe8bd3240cb83c
api-servicos,api-servicos-p,api-servicos,api-servicos-5c45687dfc-2hfcd,OOMKilled,1,12,45,cd5c24344d275410b8033a8dde274393
api-servicos,api-servicos-p,api-servicos,api-servicos-5c45687dfc-42rmr,OOMKilled,1,12,45,333a7f59f45d38d88829a6abd8b0e99c
api-servicos,api-servicos-p,api-servicos,api-servicos-5c45687dfc-4hn25,OOMKilled,1,12,45,a3f8c585374673e56c435cb4e724d4d1
api-servicos,api-servicos-p,api-servicos,api-servicos-5c45687dfc-4pbfh,OOMKilled,1,12,45,fc9afd683e9a92de8704ecdd648f7047
scaibama,scaibama-p,apicorp-sicafi,apicorp-sicafi-585455f69c-fkj5v,OOMKilled,1,12,45,190f3567226108b4ca13afe03af981a3
scaibama,scaibama-h,apicorp-sisreg,apicorp-sisreg-7f76f9864b-6pcrt,OOMKilled,1,12,45,4bfb525bf23f9cd330e01a7f176afbe3
scaibama,scaibama-p,apicorp-sisreg,apicorp-sisreg-885d4878b-9nhx9,OOMKilled,1,12,45,43d4a88fed848846e2581950924cd3c5
scaibama,scaibama-t1,apicorp-sisreg,apicorp-sisreg-86c658d578-6hxln,OOMKilled,1,12,45,450f07c575111de2d3f0072595b3f0da
iddigital,iddigital-h,apigerenciamento,apigerenciamento-8969fb69-k26bs,OOMKilled,1,12,45,7163d048510d82d1f4d53d46dec14d27
iddigital,iddigital-h,apigerenciamento,apigerenciamento-8969fb69-knglf,OOMKilled,1,12,45,1746813032fabb3b8a26288df73d4498
iddigital,iddigital-p,apigerenciamento,apigerenciamento-6d746cb877-nmcr8,OOMKilled,1,12,45,82a6b7d22aad584fddf02d7a38961b80
iddigital,iddigital-p,apigerenciamento,apigerenciamento-6d746cb877-q7n5v,OOMKilled,1,12,45,8ab57e96afe4e73158b2bd145438f331
iddigital,iddigital-p,apigerenciamento,apigerenciamento-6d746cb877-shxpv,OOMKilled,1,12,45,2552301435f4cb85f48a4e6da9bf2006
iddigital,iddigital-h,apimobile,apimobile-cd658c84c-4md9r,OOMKilled,1,12,45,cd86f021767b300def7b99a7bd55253f
iddigital,iddigital-h,apimobile,apimobile-cd658c84c-g4kp6,OOMKilled,1,12,45,9f2cd79358da433c9c52faecc829b0a6
