Sistema,Ambiente,Modulo,Pod,Uso_CPU,Hora,Minuto,Hash
cadmei,cadmei-prd,activemq-artemis,activemq-artemis-74b969db9d-kllrj,0.0047916006252354,15,30,c84d6c28aa053c9000e49dac407b17ee
rendavar,rendavar-revarhom,activemq-revar,activemq-revar-659c858b5c-mhns2,0.0665923052952949,15,30,87255aeaab0550c89f64c2d2608e3548
mapasgovbr,mapasgovbr-dsv,airflow-scheduler,airflow-scheduler-5c47859876-dx9xp,2.653097745639933,15,30,9b3ec33a544e0ea8d7138a607ecf550a
biovoz,biovoz-t,airflow-webserver,airflow-webserver-6d9cf87654-lwbg7,0.1720649505913565,15,30,914f123e097895c95b3f13649897a4a7
custos,custos-d,airflow-webserver,airflow-webserver-696489d47b-xng8m,0.2373972816607141,15,30,dffe60147f77e98539f9e39f4994e1ab
recdigitais,recdigitais-p,api,api-7d5674c8c5-tv47q,0.0394204447235305,15,30,7ed074991d2cc19a1fc280354d85c459
neoid,neoid-p,api,api-68bb77874-t6kg7,0.0124421876200357,15,30,b1f8f52fa1452b7e8953360270e86606
recdigitais,recdigitais-p,api,api-7d5674c8c5-gwxb5,0.0300388692413539,15,30,7fba3a331928e6a308e35a1f30121516
idpro,idpro-h,api,api-55bb57df69-wt6j6,0.0266595931303537,15,30,582cc9b5a4e55d8e440f784d7a69af95
brcidadao,brcidadao-p,api-contas-v1,api-contas-v1-f4ff6b678-h6fpp,0.0001294523466039,15,30,fb23606055b0a55db3e64fdf2eb825a6
scaibama,scaibama-t1,apicorp-registry,apicorp-registry-69b987b85c-f5z5m,0.0001449875349135,15,30,ff89b236b53b1b4b8a88d893a1724282
scaibama,scaibama-h,apicorp-registry,apicorp-registry-6c7fc5445c-wvnhn,6.504539073681852e-05,15,30,6db783081354c20dcded312a7cfa91ee
portemp,portemp-production,arealogada-backend,arealogada-backend-66bfd9dcc6-rwbfk,8.068771797924186e-06,15,30,dfc5f913168f74f36a0cdf77e1d8f8fa
cnirsrvinter,cnirsrvinter-pro,backend,backend-7f46f55576-9qfkz,0.0003254634424995,15,30,4b0516b639858c29481f66cf898a5d5b
sicalc,sicalc-p,backend,backend-7ffb578f9f-jtdct,0.0489545564784654,15,30,d36c6e8cce3fb63d79aad4611e1ed313
