Sistema,Ambiente,Modulo,Pod,Error,Qtd,Hora,Minuto,Hash
spunet,spunet-pro,acervo-backend,acervo-backend-c84f8db5c-6lvqr,OOMKilled,1,21,45,19d9963e0460ed384a60ef724eb79ba0
spunet,spunet-pro,acervo-backend,acervo-backend-c84f8db5c-sjg2h,OOMKilled,1,21,45,1e300feefc2f05d7e69bbae4dd0a7bda
spunet,spunet-homacessos,acessos-core,acessos-core-6cc78b8d56-v6j2n,OOMKilled,1,21,45,8aaf251a6c3d202fb00b0b8293be925c
spunet,spunet-proacessos,acessos-core,acessos-core-7dc8bc67d9-6hrhn,OOMKilled,1,21,45,2bff9b90e0fec059b42c8eb6aaefeda2
spunet,spunet-proacessos,acessos-core,acessos-core-7dc8bc67d9-jpxrd,OOMKilled,1,21,45,5bce731a5d824a483bc97709e0a42d6b
spunet,spunet-proacessos,acessos-core,acessos-core-7dc8bc67d9-vt6kb,OOMKilled,1,21,45,46d333295c2bf58475051a0be694790a
spunet,spunet-proacessos,acessos-core,acessos-core-7dc8bc67d9-vthmv,OOMKilled,1,21,45,7fcd33485aed4bb4158ec3f034758de3
siapa,siapa-des2,acomp-externo,acomp-externo-7784f5f797-rvvln,OOMKilled,1,21,45,8e2976d92fe136dca71fa23b2a1ecba1
govbrapi,govbrapi-p,acompanhamento,acompanhamento-557b9c57d5-gq4t2,OOMKilled,1,21,45,32d06160290bb67cb6214dd9dd42a961
govbrapi,govbrapi-p,acompanhamento,acompanhamento-557b9c57d5-lhpj6,OOMKilled,1,21,45,2391ff737882defa4563eed17a772494
govbrapi,govbrapi-p,acompanhamento,acompanhamento-557b9c57d5-pc5vq,OOMKilled,1,21,45,9010d7009f436c8ffd7493d6b2144943
govbrapi,govbrapi-p,acompanhamento,acompanhamento-557b9c57d5-rgzh6,OOMKilled,1,21,45,40b7dddd1a174cac504a9420d85ca25c
govbrapi,govbrapi-p,acompanhamento,acompanhamento-557b9c57d5-t5c7h,OOMKilled,1,21,45,c9109681286ac5a5eff92c297337d6dd
