Sistema;Módulo;Flavor;CPU;Memória ;GPU
custos;extrator-ingr;m4;32;512;
chatbots;krakend;m4;32;512;
mdmservices;dm-orgao;m9;96;2048;
serprobots;hbot-teste-curadoria-ana-d;m2;16;256;
mdmservices;dm-demanda;m9;96;2048;
mdmservices;dado-referencia;m9;96;2048;
svpc;svpc;m6;64;1024;
acionagovi;aciona-generico;m9;96;2048;
bilhetadorcorporativo;testeintegrado-novo;m2;16;256;
issqndpi;dpi-frontend;m0;4;64;
bilhetadorcorporativo;gatewayhttp-rp;m2;16;256;
inscrevefacil;servicos-externos;m5;48;768;
esocialweb;alertmanager;m1;8;128;
custos;orange-prj;m4;32;512;
siafi;grafana;m9;96;2048;
neoid;nginx;m1;8;128;
dashboardcnpj;frontend;m0;4;64;
siconv;integra-backend;m6;64;1024;
apiverificador;cdmapi;m6;64;1024;
reintegra;am;m1;8;128;
unobarramento;frontend;m1;8;128;
demoiselle;forum01;m4;32;512;
portemp;portemp-grf;m2;16;256;
gpms;sgic;m6;64;1024;
siapa;relatorio-ge;m9;96;2048;
svcd;svcdredis;m4;32;512;
apidue;apidue;m7;80;1280;
portserpro;portfolio-server;m6;64;1024;
plia;ati-frontend;m4;32;512;
siscomex-sapi;sapi-graf;m4;32;512;
mock;mock-web;m0;4;64;
apimock;mock-http;m4;32;512;
obras;exportacei;m6;64;1024;
sggd;frontend;m4;32;512;
svpc;integrador-neoid;m4;32;512;
demoiselle;push01;m6;64;1024;
ouvserpro;ouvserpro-backend;m9;96;2048;
apidividaativa;apidividaativa;m7;80;1280;
esmon;prproxy;m0;4;64;
sijus;consultivo-backend;m9;96;2048;
cdefa;echo;m0;4;64;
denatransso;apoioweb-frontend;m2;16;256;
gpms;gdes;m2;16;256;
apitimestamp;api;m9;96;2048;
estaleirotutorial;demonstra;m1;8;128;
orgweb;microservico-orgao;m9;96;2048;
ecacpgfn;ecacpgfn-prth;m6;64;1024;
sinacapi;ws-opcao;m4;32;512;
sinter;monitoracao;m4;32;512;
crmppn;dasi;m1;8;128;
plia;ati-artemis;m8;96;1536;
constel;api-php;m0;4;64;
sisenparam;sisen-storage;m1;8;128;
bconnect;console-backend;m4;32;512;
pavd;cert-cliente;m4;32;512;
gfdoc;backend;m4;32;512;
autentikus;nginx-frontend;m1;8;128;
rendavar;revarvalidacao;m8;96;1536;
renavam;renavam-gerador-pdfs;m8;96;1536;
estaleirotutorial;apresentacoes;m1;8;128;
datalakecdaao;sinesp-all-pro;m4;32;512;
arquimedes;actuator-jobs;m1;8;128;
academia;cron;m2;16;256;
ibama-montreal3;gateway;m8;96;1536;
renainfweb;integrador-consulta;m5;48;768;
sipt;siptinternet-api;m9;96;2048;
listadevedores;convenios-redis;m4;32;512;
issqndpi;dpi-frontend-login;m0;4;64;
mdmservices;dm-empregado;m9;96;2048;
irpfonline;diagnostico;m4;32;512;
bcadastros;api-cno;m6;64;1024;
pgt-incra;pgt-front;m0;4;64;
siprar;atipicos-frontend;m0;4;64;
custos;extrator-os;m4;32;512;
gestaodeidentidade;api-php;m0;4;64;
serprobots;hbot-teste-curadoria-ana-p;m2;16;256;
serprobots;bot-incra-p;m2;16;256;
neoid;bank;m0;4;64;
unobarramento;api;m6;64;1024;
capacidade;capacidade-rotina;m4;32;512;
perdcompw;services;m1;8;128;
siconv;siconv-imagens-vistoria;m0;4;64;
cdnps;frontend;m0;4;64;
fiscdenatran;fistran-batch;m7;80;1280;
painelindicadores;painelexecutivo;m9;96;2048;
capacidade;capacidade-frontend;m6;64;1024;
capacidade;capacidade-servico;m6;64;1024;
siconv;integra-frontend;m0;4;64;
irpfonline;atualiza-tabelas-proc;m2;16;256;
irpfonline;grafanairpf;m3;24;384;
irpfonline;transformador;m2;16;256;
custos;indexador;m4;32;512;
sinter;monitor;m0;4;64;
serprolabs;painel;m4;32;512;
midas;midas-info-aggregator;m4;32;512;
estalsuf;backend-poc;m4;32;512;
dedat;monbd-pth;m4;32;512;
gfdoc;frontend;m4;32;512;
mdmservices;dm-cliente;m4;32;512;
sipt;siptinternet-web;m2;16;256;
dedat;labgrpc-api;m0;4;64;
redesimservicos;orgao-service;m4;32;512;
credencia;am-notifier-credencia;m2;16;256;
conectagov;api-consulta-brasilcidadao;m2;16;256;
custos;custos;m0;4;64;
assinadoc;modassinadocfront;m5;48;768;
sinor;sinor;m6;64;1024;
blockchain;baas-frontend;m2;16;256;
demopipe;bookmark;m6;64;1024;
gestaodeidentidade;trocasenha-php;m2;16;256;
